iter	Passed	Remaining
663	16808	8505
664	16832	8479
665	16857	8454
666	16882	8428
667	16908	8403
668	16932	8377
669	16958	8352
670	16981	8326
671	17008	8301
672	17032	8275
673	17058	8250
674	17081	8224
675	17105	8198
676	17129	8172
677	17151	8145
678	17175	8119
679	17198	8093
680	17222	8067
681	17248	8042
682	17273	8016
683	17297	7991
684	17322	7965
685	17347	7940
686	17373	7915
687	17398	7890
688	17422	7864
689	17446	7838
690	17469	7812
691	17494	7786
692	17517	7760
693	17541	7734
694	17565	7708
695	17590	7683
696	17612	7656
697	17635	7630
698	17659	7604
699	17684	7578
700	17708	7553
701	17732	7527
702	17756	7501
703	17782	7476
704	17806	7450
705	17830	7424
706	17853	7398
707	17877	7373
708	17900	7347
709	17924	7321
710	17949	7295
711	17973	7270
712	17999	7245
713	18023	7219
714	18046	7193
715	18070	7167
716	18092	7141
717	18116	7115
718	18142	7090
719	18166	7064
720	18192	7039
721	18217	7014
722	18240	6988
723	18265	6962
724	18290	6937
725	18314	6912
726	18340	6887
727	18364	6861
728	18390	6836
729	18415	6811
730	18442	6786
731	18466	6760
732	18494	6736
733	18523	6712
734	18548	6687
735	18570	6661
736	18595	6635
737	18620	6610
738	18645	6585
739	18669	6559
740	18691	6533
741	18717	6508
742	18742	6483
743	18765	6457
744	18790	6431
745	18816	6406
746	18841	6381
747	18865	6355
748	18889	6330
749	18914	6304
750	18939	6279
751	18965	6254
752	18990	6229
753	19014	6203
754	19040	6178
755	19066	6153
756	19091	6128
757	19116	6103
758	19140	6077
759	19165	6052
760	19190	6026
761	19215	6001
762	19241	5976
763	19264	5950
764	19287	5924
765	19312	5899
766	19336	5873
767	19359	5848
768	19382	5822
769	19405	5796
770	19429	5770
771	19455	5745
772	19480	5720
773	19506	5695
774	19531	5670
775	19558	5645
776	19581	5620
777	19607	5595
778	19634	5570
779	19659	5544
780	19682	5519
781	19706	5493
782	19730	5468
783	19754	5442
784	19779	5417
785	19803	5391
786	19828	5366
787	19852	5341
788	19877	5315
789	19901	5290
790	19923	5264
791	19947	5238
792	19972	5213
793	19997	5188
794	20022	5163
795	20045	5137
796	20068	5111
797	20092	5086
798	20117	5060
799	20141	5035
800	20167	5010
801	20193	4985
802	20220	4960
803	20245	4935
804	20271	4910
805	20296	4885
806	20321	4860
807	20347	4835
808	20374	4810
809	20401	4785
810	20427	4760
811	20452	4735
812	20478	4710
813	20507	4685
814	20534	4661
815	20560	4636
816	20584	4610
817	20609	4585
818	20635	4560
819	20659	4535
820	20684	4509
821	20709	4484
822	20736	4459
823	20760	4434
824	20786	4409
825	20811	4384
826	20836	4358
827	20863	4333
828	20890	4309
829	20916	4284
830	20942	4259
831	20967	4233
832	20990	4208
833	21016	4183
834	21044	4158
835	21071	4133
836	21097	4108
837	21123	4083
838	21149	4058
839	21174	4033
840	21201	4008
841	21227	3983
842	21252	3958
843	21279	3933
844	21303	3907
845	21327	3882
846	21352	3857
847	21377	3831
848	21401	3806
849	21425	3780
850	21448	3755
851	21472	3729
852	21497	3704
853	21520	3679
854	21545	3653
855	21569	3628
856	21595	3603
857	21619	3578
858	21644	3552
859	21670	3527
860	21694	3502
861	21718	3477
862	21745	3452
863	21770	3426
864	21796	3401
865	21818	3376
866	21842	3350
867	21866	3325
868	21892	3300
869	21917	3275
870	21941	3249
871	21966	3224
872	21991	3199
873	22015	3173
874	22040	3148
875	22065	3123
876	22092	3098
877	22119	3073
878	22145	3048
879	22172	3023
880	22200	2998
881	22224	2973
882	22250	2948
883	22274	2922
884	22300	2897
885	22326	2872
886	22352	2847
887	22379	2822
888	22401	2797
889	22426	2771
890	22452	2746
891	22475	2721
892	22498	2695
893	22523	2670
894	22547	2645
895	22572	2619
896	22601	2595
897	22626	2570
898	22651	2544
899	22677	2519
900	22703	2494
901	22731	2469
902	22758	2444
903	22783	2419
904	22810	2394
905	22837	2369
906	22861	2344
907	22888	2319
908	22914	2293
909	22938	2268
910	22963	2243
911	22989	2218
912	23015	2193
913	23040	2167
914	23063	2142
915	23087	2117
916	23112	2091
917	23137	2066
918	23163	2041
919	23187	2016
920	23211	1990
921	23235	1965
922	23258	1940
923	23281	1914
924	23304	1889
925	23329	1864
926	23355	1839
927	23379	1813
928	23404	1788
929	23430	1763
930	23456	1738
931	23481	1713
932	23506	1688
933	23530	1662
934	23554	1637
935	23576	1612
936	23600	1586
937	23624	1561
938	23648	1536
939	23671	1510
940	23696	1485
941	23719	1460
942	23744	1435
943	23769	1410
944	23793	1384
945	23817	1359
946	23840	1334
947	23865	1309
948	23891	1283
949	23917	1258
950	23943	1233
951	23969	1208
952	23995	1183
953	24019	1158
954	24044	1132
955	24069	1107
956	24093	1082
957	24117	1057
958	24142	1032
959	24167	1006
960	24192	981
961	24219	956
962	24243	931
963	24267	906
964	24291	881
965	24317	855
966	24344	830
967	24370	805
968	24397	780
969	24422	755
970	24447	730
971	24470	704
972	24496	679
973	24522	654
974	24546	629
975	24572	604
976	24596	579
977	24620	553
978	24645	528
979	24670	503
980	24697	478
981	24721	453
982	24745	427
983	24772	402
984	24796	377
985	24822	352
986	24847	327
987	24873	302
988	24899	276
989	24924	251
990	24951	226
991	24977	201
992	25004	176
993	25028	151
994	25054	125
995	25077	100
996	25101	75
997	25126	50
998	25150	25
999	25174	0
